"nama","gender","usia","area","ses","user_ts","user_ns","tom","unaided_1","unaided_2","unaided_3"
"Hartzler, Tyler","M","16 - 20 th","Jabar","Mid","ya","tidak","rcti","trans7","tv one","trans tv"
"Chairez, Kyle","F","26 - 30 th","Jabodetabek","Up2","ya","ya","net","trans7","inews","tv one"
"Roubideaux, Alisha","M","26 - 30 th","Sulawesi","Super","ya","ya","trans7","inews","rcti","tv one"
"Barco, Olivia","M","11 - 15 th","Jabodetabek","Super","ya","tidak","indosiar","net","trans7","sctv"
"Steppan, Kristina","M","> 30 th","Jatim","Super","ya","ya","sctv","tv one","indosiar","net"
"Martinez, Clarissa","M","26 - 30 th","Jateng","Mid","ya","ya","trans7","mnc tv","inews","net"
"Lewis, Kayla","F","16 - 20 th","Jabar","Super","ya","ya","rcti","net","trans7","mnc tv"
"al-Vaziri, Mamoon","M","26 - 30 th","SUM 1","Mid","tidak","ya","rcti","trans7","net","indosiar"
"Escobar, Logan","F","21 - 25 th","Jabodetabek","Mid","ya","tidak","inews","trans tv","sctv","tv one"
"el-Saab, Waseema","F","16 - 20 th","PUMA","Mid","ya","ya","trans tv","trans7","rcti","mnc tv"
"Schwenger, Taylor","F","21 - 25 th","Jabar","Mid","tidak","ya","rcti","mnc tv","sctv","net"
"Asmelash, Juwan","M","26 - 30 th","Sulawesi","Super","ya","ya","inews","mnc tv","sctv","trans7"
"Drapeau Villarreal, Ryan","F","26 - 30 th","Sulawesi","Up1","tidak","ya","tv one","rcti","net","trans tv"
"Williams, Jaenelle","F","> 30 th","BARA","Up1","ya","ya","trans7","sctv","net","tv one"
"Valbrun, Delaney","F","21 - 25 th","Jabodetabek","Up1","ya","ya","tv one","sctv","net","trans7"
"Nguyen, Heres","M","26 - 30 th","SUM 1","Mid","ya","ya","net","trans7","trans tv","tv one"
"Atwell, William","F","21 - 25 th","Jabar","Up1","tidak","ya","inews","trans7","mnc tv","net"
"Wildeman, Marissa","F","26 - 30 th","PUMA","Up1","tidak","ya","mnc tv","trans7","rcti","net"
"Quezada Delgado, Eduardo","F","16 - 20 th","Jabodetabek","Up2","tidak","ya","net","trans tv","mnc tv","rcti"
"al-Akbari, Aayaat","M","26 - 30 th","Kalimantan","Up1","ya","tidak","net","rcti","sctv","trans7"
"Morales Baca, Gabriela","M","21 - 25 th","Jateng","Super","ya","tidak","trans7","mnc tv","net","inews"
"Montoya, Cristian","F","21 - 25 th","SUM 2","Up1","ya","ya","trans tv","sctv","inews","net"
"Ball, Macy","F","11 - 15 th","Jabodetabek","Mid","tidak","ya","sctv","trans7","net","trans tv"
"Thomas, Crue","F","26 - 30 th","Jateng","Mid","ya","ya","net","rcti","trans tv","indosiar"
"Underwood, Mikhail","M","11 - 15 th","PUMA","Mid","tidak","ya","mnc tv","inews","net","trans7"
"Paley, Mckayla","M","21 - 25 th","PUMA","Up2","ya","ya","net","tv one","rcti","inews"
"Najera, Damian","F","> 30 th","Jabodetabek","Super","tidak","ya","sctv","inews","trans7","mnc tv"
"Topete, Tristen","M","21 - 25 th","Jabodetabek","Super","ya","tidak","mnc tv","indosiar","trans7","net"
"Her, Christine","M","16 - 20 th","Jabar","Up2","ya","tidak","trans7","net","mnc tv","trans tv"
"Mucino, Hector","F","26 - 30 th","Jateng","Mid","ya","ya","net","mnc tv","sctv","tv one"
"Cram, Shannon","F","26 - 30 th","Jabodetabek","Up2","tidak","tidak","inews","rcti","net","trans tv"
"Narayan, James","F","> 30 th","PUMA","Mid","tidak","ya","tv one","net","mnc tv","sctv"
"Reyes Velasco, Roman","M","> 30 th","Jabar","Up2","tidak","ya","tv one","net","mnc tv","trans7"
"Rodriguez, Vanessa","F","16 - 20 th","PUMA","Mid","ya","ya","indosiar","trans tv","trans7","sctv"
"Mastriona, Joshua","F","21 - 25 th","BARA","Mid","tidak","ya","net","mnc tv","trans7","rcti"
"al-Shahin, Kameel","F","21 - 25 th","Jabar","Up1","ya","ya","trans7","net","trans tv","indosiar"
"Arteaga, Brandon","F","21 - 25 th","Sulawesi","Mid","tidak","ya","inews","net","trans7","rcti"
"Cordero, Margarita","M","11 - 15 th","SUM 2","Up2","ya","ya","mnc tv","trans tv","sctv","inews"
"el-Ishak, Tharwa","M","26 - 30 th","Jabodetabek","Mid","ya","ya","net","trans7","sctv","inews"
"Ross, Zachary","F","11 - 15 th","Jabar","Up2","ya","ya","inews","sctv","mnc tv","trans7"
"Lee, Coleman","M","16 - 20 th","SUM 2","Up1","ya","ya","mnc tv","net","inews","trans7"
"Graham, Vani","M","> 30 th","PUMA","Up1","tidak","ya","trans tv","trans7","net","indosiar"
"al-Akhtar, Hissa","F","11 - 15 th","Jabodetabek","Up1","tidak","ya","trans tv","net","trans7","inews"
"Mccreary, Austin","M","> 30 th","Sulawesi","Super","ya","ya","trans7","mnc tv","net","sctv"
"George, Erica","F","21 - 25 th","Jatim","Up1","tidak","ya","trans tv","inews","net","trans7"
"Ketchum, Mckayla","M","21 - 25 th","BARA","Mid","ya","ya","inews","trans7","sctv","rcti"
"Sandoval, Jordan","F","11 - 15 th","Sulawesi","Mid","ya","tidak","trans tv","tv one","net","trans7"
"al-Aslam, Taaha","F","> 30 th","Kalimantan","Mid","ya","ya","trans7","net","sctv","trans tv"
"el-Mona, Rumaana","F","16 - 20 th","Jabar","Super","tidak","ya","inews","rcti","net","trans tv"
"Benson, Preston","M","21 - 25 th","Jabar","Up1","tidak","ya","mnc tv","sctv","tv one","trans7"
"al-Rahmani, Sabeeka","F","16 - 20 th","Jabodetabek","Super","ya","ya","rcti","inews","sctv","trans tv"
"al-Ghanem, Labeeb","F","21 - 25 th","Jabar","Up1","tidak","tidak","net","trans7","rcti","inews"
"Scott, Whitnie","M","21 - 25 th","PUMA","Mid","tidak","tidak","net","trans7","sctv","trans tv"
"Dehn, Shenandoah","M","21 - 25 th","Jabodetabek","Super","tidak","ya","net","inews","trans tv","trans7"
"Eckert, Dylan","F","16 - 20 th","PUMA","Mid","ya","ya","rcti","trans tv","trans7","inews"
"Gonzalez, Pablo","M","21 - 25 th","Sulawesi","Mid","ya","ya","net","trans7","trans tv","inews"
"al-Shaer, Aaish","F","16 - 20 th","Jabodetabek","Super","ya","ya","sctv","mnc tv","tv one","rcti"
"Keuhne, Brandon","F","21 - 25 th","Jatim","Up2","ya","ya","net","inews","rcti","trans tv"
"Bailey, Ebonee","F","16 - 20 th","PUMA","Mid","tidak","tidak","mnc tv","indosiar","trans tv","inews"
"Pressley, Chrystina","M","21 - 25 th","Jabar","Up1","ya","ya","mnc tv","trans tv","net","trans7"
"Carlin, Laura","M","11 - 15 th","BARA","Up1","ya","ya","indosiar","net","trans7","mnc tv"
"Oliver, Alexandra","F","11 - 15 th","Jatim","Up1","tidak","ya","sctv","net","trans tv","trans7"
"Weston, Abigail","F","16 - 20 th","PUMA","Up2","tidak","ya","tv one","trans7","net","mnc tv"
"Patterson, Scarlett","M","21 - 25 th","Jabodetabek","Super","ya","ya","net","trans7","sctv","trans tv"
"Johnson, Destiny","F","26 - 30 th","SUM 2","Super","tidak","tidak","trans tv","trans7","mnc tv","inews"
"Pacheco, Hector","F","21 - 25 th","Kalimantan","Mid","tidak","tidak","net","trans7","mnc tv","inews"
"Barcelona, Von Buddenbrock","F","26 - 30 th","Sulawesi","Mid","ya","ya","trans tv","net","sctv","trans7"
"Newberry, William","M","16 - 20 th","Jabodetabek","Mid","ya","tidak","rcti","trans7","net","indosiar"
"Millan, Victoria","F","26 - 30 th","Sulawesi","Mid","ya","tidak","mnc tv","trans7","inews","sctv"
"Swick, Marki","F","21 - 25 th","SUM 2","Mid","ya","ya","rcti","trans7","trans tv","net"
"Smith, Evan","M","> 30 th","PUMA","Super","ya","tidak","rcti","net","indosiar","trans7"
"Worley, Shikinah","M","26 - 30 th","PUMA","Mid","ya","tidak","mnc tv","tv one","net","trans tv"
"Garrels, Tina","M","21 - 25 th","Jateng","Mid","ya","ya","sctv","trans7","trans tv","net"
"Wheeler, Isaiah","M","16 - 20 th","Jabodetabek","Up1","tidak","ya","inews","trans7","mnc tv","net"
"Gilbert, Mateo","F","21 - 25 th","Jabodetabek","Up1","tidak","ya","tv one","trans7","trans tv","net"
"Netzel, Kassidy","M","> 30 th","Jateng","Mid","tidak","ya","sctv","trans tv","mnc tv","inews"
"Rodgers, Katie","M","21 - 25 th","Jabodetabek","Up1","ya","ya","trans7","sctv","inews","rcti"
"Snyder, Sarah","M","21 - 25 th","Sulawesi","Mid","tidak","ya","net","trans tv","indosiar","trans7"
"al-Salih, Hamdoona","F","21 - 25 th","Sulawesi","Super","ya","ya","inews","net","mnc tv","rcti"
"Salazar, John","M","16 - 20 th","Jabar","Up1","ya","ya","trans7","trans tv","sctv","indosiar"
"Olivas, Alexander","M","26 - 30 th","Jabar","Super","tidak","ya","rcti","sctv","tv one","indosiar"
"Chow, Brandon","M","21 - 25 th","Jateng","Up2","ya","ya","trans tv","sctv","rcti","mnc tv"
"Elam, Rameika","M","26 - 30 th","PUMA","Mid","tidak","ya","net","inews","trans tv","sctv"
"Knox, Chloe","M","11 - 15 th","PUMA","Up2","tidak","ya","indosiar","rcti","trans tv","sctv"
"el-Hosseini, Shaheer","M","21 - 25 th","Jabodetabek","Up2","ya","ya","trans tv","sctv","trans7","tv one"
"Savage, Paige","F","26 - 30 th","PUMA","Up1","ya","ya","sctv","trans tv","tv one","net"
"Roots, Dominic","F","> 30 th","BARA","Mid","tidak","ya","net","rcti","trans tv","indosiar"
"Guzman, Diego","F","11 - 15 th","Kalimantan","Mid","tidak","ya","trans7","sctv","rcti","trans tv"
"Mebane, Samuel","M","11 - 15 th","Jatim","Mid","ya","ya","trans7","sctv","net","tv one"
"el-Shaker, Hanaaa","M","11 - 15 th","Jabodetabek","Super","ya","ya","sctv","net","inews","trans7"
"Tharpe, Michael","F","16 - 20 th","Jatim","Super","tidak","ya","inews","net","mnc tv","trans tv"
"al-Bagheri, Sumayya","F","21 - 25 th","Kalimantan","Up1","tidak","tidak","tv one","sctv","rcti","trans7"
"al-Kazmi, Shuraih","M","21 - 25 th","SUM 1","Mid","tidak","ya","trans7","sctv","net","inews"
"Vega, Jaime","M","11 - 15 th","Jabodetabek","Mid","ya","ya","trans7","net","rcti","mnc tv"
"Nava-Mendoza, Christian","M","16 - 20 th","PUMA","Super","tidak","ya","trans tv","trans7","indosiar","net"
"Yazzie, Devon","M","21 - 25 th","SUM 2","Mid","ya","ya","mnc tv","inews","trans7","net"
"Herndon, Selma","M","11 - 15 th","Jabodetabek","Super","ya","ya","indosiar","trans7","sctv","net"
"Martinez, Keeman","F","16 - 20 th","Jateng","Mid","ya","ya","rcti","inews","trans7","net"
"Lowe, Mehdi","M","21 - 25 th","Jatim","Mid","ya","ya","sctv","net","trans tv","rcti"
"el-Harroun, Aakif","F","21 - 25 th","SUM 2","Up1","tidak","ya","net","trans tv","tv one","trans7"
"Nakata, Sydney","M","21 - 25 th","Kalimantan","Super","ya","tidak","net","trans tv","inews","tv one"
"Vu, Rachael","M","> 30 th","Jabodetabek","Super","ya","ya","mnc tv","sctv","net","trans7"
"Vongsaraphanh Khamvongsa, Wahtihdah","M","11 - 15 th","Jateng","Mid","ya","ya","sctv","inews","tv one","net"
"al-Fadel, Abdul Kareem","F","21 - 25 th","Jabar","Super","tidak","ya","sctv","trans7","net","mnc tv"
"Kaba, Quennel","F","26 - 30 th","Kalimantan","Up1","ya","tidak","sctv","rcti","mnc tv","trans7"
"el-Abdo, Rahma","M","11 - 15 th","Jabar","Mid","ya","tidak","tv one","trans7","rcti","net"
"Guerrero, Alexandra","M","16 - 20 th","Sulawesi","Super","ya","ya","inews","trans7","net","rcti"
"Underwood, Jordan","F","11 - 15 th","Jabodetabek","Up1","ya","tidak","indosiar","rcti","trans7","net"
"Cotton, Lorenzo","M","21 - 25 th","Jatim","Up1","tidak","ya","sctv","inews","trans tv","net"
"Villarreal Alejandro, Olivia","M","26 - 30 th","Jateng","Mid","ya","ya","trans tv","mnc tv","trans7","net"
"Ulibarri, Hector","F","> 30 th","Sulawesi","Mid","tidak","ya","trans tv","sctv","trans7","mnc tv"
"el-Agha, Hasnaa","M","16 - 20 th","Jabodetabek","Mid","tidak","ya","net","trans tv","rcti","trans7"
"al-Sahli, Shaafia","F","26 - 30 th","Sulawesi","Up1","tidak","tidak","net","indosiar","sctv","inews"
"Harper, Shakedia","M","16 - 20 th","PUMA","Mid","tidak","ya","trans tv","sctv","net","inews"
"Vansickle, Seth","F","16 - 20 th","Jateng","Super","tidak","ya","trans tv","net","sctv","rcti"
"Gonzales Garcia, Jose","F","16 - 20 th","SUM 2","Up1","tidak","tidak","rcti","net","trans7","sctv"
"Kikuchi, Anderson","F","> 30 th","Sulawesi","Super","ya","ya","sctv","net","trans tv","trans7"
"Whiteskunk, Isaac","F","26 - 30 th","Jatim","Super","ya","tidak","net","trans7","rcti","trans tv"
"Manlove, Jacob","F","16 - 20 th","Jatim","Mid","tidak","ya","tv one","mnc tv","net","trans7"
"Cooper-Church, Tyre","M","> 30 th","BARA","Mid","ya","tidak","trans7","net","indosiar","sctv"
"Lalria, Diana","F","21 - 25 th","SUM 2","Super","tidak","tidak","trans tv","mnc tv","inews","net"
"Budsey, Matthew","M","11 - 15 th","Jabodetabek","Mid","ya","ya","net","inews","mnc tv","trans7"
"el-Bashir, Tasneem","M","16 - 20 th","SUM 1","Up1","ya","tidak","net","trans7","inews","tv one"
"Dang, Eddy","F","26 - 30 th","Jateng","Mid","tidak","tidak","sctv","mnc tv","inews","net"
"Swindall, Amanda","F","16 - 20 th","SUM 1","Mid","ya","tidak","trans tv","indosiar","rcti","trans7"
"Alimam, Ray","F","21 - 25 th","Kalimantan","Super","tidak","tidak","trans7","net","trans tv","inews"
"Tarin, Aaron","M","26 - 30 th","Jabar","Up1","tidak","ya","trans tv","trans7","rcti","mnc tv"
"Pierce, Christopher","F","16 - 20 th","Jatim","Super","ya","ya","rcti","net","trans tv","sctv"
"Martinez, Sarah","M","16 - 20 th","Sulawesi","Mid","ya","ya","trans tv","inews","net","sctv"
"Navarro Oliva, Nancy","M","21 - 25 th","Jabodetabek","Super","ya","ya","mnc tv","indosiar","sctv","net"
"Johnson, Rickeey","M","21 - 25 th","PUMA","Super","ya","ya","net","sctv","trans tv","inews"
"el-Hameed, Uwais","F","11 - 15 th","Kalimantan","Up2","tidak","ya","indosiar","net","trans tv","mnc tv"
"Estrada, Joanne","M","26 - 30 th","PUMA","Up1","ya","ya","trans7","mnc tv","sctv","indosiar"
"Nolte, Ansumanna","M","21 - 25 th","Jateng","Mid","ya","ya","net","mnc tv","sctv","rcti"
"Spencer, Katelyn","M","> 30 th","SUM 1","Mid","tidak","ya","sctv","net","trans7","trans tv"
"Zaragoza-Madrid, Robert","F","21 - 25 th","SUM 1","Mid","ya","ya","mnc tv","trans tv","sctv","inews"
"Gonzales, Aaron","F","16 - 20 th","Jabodetabek","Up1","tidak","ya","net","sctv","mnc tv","rcti"
"Conover, Jonathan","M","26 - 30 th","Jabodetabek","Up1","ya","ya","trans7","net","tv one","rcti"
"al-Abood, Nizaam","M","16 - 20 th","Jateng","Super","ya","tidak","trans7","sctv","net","trans tv"
"al-Karim, Mus'ab","F","16 - 20 th","BARA","Mid","tidak","ya","trans tv","net","sctv","tv one"
"Kulp, Dannette","F","11 - 15 th","BARA","Up2","ya","ya","net","sctv","inews","trans7"
"el-Tamer, Huwaida","F","26 - 30 th","Jateng","Super","tidak","ya","tv one","mnc tv","sctv","net"
"Rugg, Nathan","M","21 - 25 th","Jateng","Mid","tidak","ya","tv one","rcti","trans7","mnc tv"
"Jones, Chayla","F","16 - 20 th","Jabodetabek","Up2","ya","ya","inews","trans tv","net","trans7"
"Troxel, Nataly","M","26 - 30 th","SUM 2","Super","tidak","ya","inews","trans tv","sctv","trans7"
"Gonzales, Kaytlyn","M","26 - 30 th","Jabar","Super","tidak","ya","trans7","rcti","trans tv","net"
"Combs, Brianna","M","21 - 25 th","Jabodetabek","Mid","tidak","ya","trans tv","rcti","indosiar","sctv"
"Polson, Savannah","F","26 - 30 th","Jatim","Up2","ya","ya","trans tv","sctv","net","mnc tv"
"al-Siddiqi, Ikram","F","21 - 25 th","Sulawesi","Super","tidak","ya","trans7","mnc tv","net","trans tv"
"el-Salaam, Randa","F","16 - 20 th","SUM 1","Mid","ya","ya","net","trans tv","rcti","sctv"
"Masters, Monique","F","16 - 20 th","SUM 1","Mid","ya","tidak","net","trans7","mnc tv","trans tv"
"Hall, Alysia","F","11 - 15 th","BARA","Up2","tidak","ya","mnc tv","trans tv","sctv","rcti"
"Contreras, Ana","F","16 - 20 th","Kalimantan","Mid","ya","ya","trans7","sctv","trans tv","net"
"Kim, Laosa","F","21 - 25 th","SUM 1","Up2","ya","ya","sctv","net","indosiar","mnc tv"
"Underwood, Jazmin","F","21 - 25 th","Jabodetabek","Up1","ya","ya","trans7","rcti","indosiar","trans tv"
"Saucedo, Danielle","M","26 - 30 th","Jabodetabek","Mid","ya","ya","inews","sctv","trans7","trans tv"
"Martin, Rebecca","M","26 - 30 th","PUMA","Mid","tidak","tidak","rcti","net","trans tv","tv one"
"Wallace, Morgen","F","> 30 th","Jabodetabek","Mid","ya","ya","net","tv one","trans tv","inews"
"Heredia, Brian","F","16 - 20 th","PUMA","Mid","tidak","ya","net","trans tv","indosiar","tv one"
"el-Siddiqui, Zaahir","F","26 - 30 th","PUMA","Super","ya","ya","net","sctv","inews","rcti"
"Herrera, Kameron","M","21 - 25 th","Kalimantan","Mid","tidak","ya","trans7","inews","net","rcti"
"al-Hoda, Naseefa","M","11 - 15 th","Jatim","Mid","ya","ya","net","rcti","mnc tv","tv one"
"Pham, Sheldon","M","26 - 30 th","Sulawesi","Mid","ya","ya","rcti","net","sctv","trans tv"
"Ross, Tanayja","M","> 30 th","PUMA","Mid","ya","ya","sctv","inews","net","rcti"
"al-Jabbour, Mubashshir","M","16 - 20 th","Jabar","Mid","ya","tidak","net","rcti","sctv","tv one"
"el-Bacchus, Khairi","F","21 - 25 th","Jatim","Mid","ya","ya","inews","indosiar","tv one","trans7"
